RA_ICRS,DE_ICRS,Source,GLON,GLAT,plx,pmRA,pmDE,o_Gmag,Gmag,BP-RP,PMemb,Cluster,_RA.icrs,_DE.icrs
34.70154617309,57.24025238007,458379358181849856,134.5700830684,-3.6440723321,0.4995,-0.619,-1.301,267,9.882385,0.552872,0.5,NGC_869,34.70155109834,57.2402579816
34.81877708775,57.09250757186,458374341660200320,134.6794026458,-3.7622578673,0.3399,-0.788,-1.324,245,16.604855,1.427513,0.6,NGC_869,34.81878333269,57.09251327242
34.59332165809,57.18302874965,458373104709356416,134.5336466845,-3.7174702621,0.4013,-0.63,-0.975,267,14.841224,0.720616,0.8,NGC_869,34.5933266631,57.18303294757
34.68617063478,57.24176146781,458379358181849600,134.5617167763,-3.6454081794,0.3827,-0.759,-1.172,250,14.473431,0.682696,0.6,NGC_869,34.68617667423,57.24176651392
34.71578394734,57.1874403869,458378052511833344,134.5949351623,-3.6913317109,0.2984,-0.338,-1.297,278,16.706184,1.636548,0.2,NGC_869,34.71578663289,57.18744597121
34.5958860696,57.18240108753,458373104709356672,134.5351690117,-3.7176036871,0.4367,-0.652,-0.944,263,16.11333,1.334438,0.8,NGC_869,34.5958912493,57.18240515197
34.7527867238,57.18372460431,458378224310525056,134.6151248562,-3.6881733031,0.3999,-0.6,-0.689,231,15.097306,0.824939,0.4,NGC_869,34.75279149056,57.18372757084
34.58232873952,57.18279720967,458373070349618688,134.5280878287,-3.7196559004,0.4314,-0.876,-1.044,254,14.952297,0.748241,0.7,NGC_869,34.58233569882,57.18280170467
34.73861537545,57.15355661554,458377807688592768,134.6179138052,-3.7191796598,0.4108,-0.907,-1.177,173,12.491875,0.584384,0.5,NGC_869,34.73862257533,57.15356168318
34.708450159,57.00777321126,458367809005254656,134.6509472526,-3.8621310801,0.4273,-1.102,-0.821,121,15.62503,0.9079,0.4,NGC_869,34.7084588725,57.00777674612
35.02247499579,57.15400430096,458375578610672640,134.7631641686,-3.6672741112,0.4143,-0.745,-1.184,242,14.175489,0.752422,0.7,NGC_869,35.02248090977,57.15400939874
34.91791442512,57.16396949461,458375750409365248,134.7062882554,-3.6769215181,0.4623,-0.682,-0.841,215,16.684685,1.309562,0.4,NGC_869,34.91791984045,57.16397311558
34.69293768093,57.10539195346,458371695960345728,134.6105055354,-3.7728433436,0.4451,-0.983,-1.432,227,14.186605,0.618005,0.2,NGC_869,34.69294547397,57.10539811902
35.00199868434,57.15553194704,458375544250934784,134.752168938,-3.6695701188,0.3656,-1.409,-0.494,243,17.058075,,0.2,NGC_869,35.00200986976,57.15553407398
34.63966403758,57.01897217289,458368053828187008,134.611813306,-3.8639791035,0.3987,-0.684,-1.195,226,13.714511,0.577245,0.8,NGC_869,34.63966944759,57.01897731803
34.73649071659,57.06263827884,458368569224203264,134.6471056563,-3.8053131621,0.3916,-0.569,-1.096,247,14.965805,0.814796,0.6,NGC_869,34.73649522232,57.06264299773
34.84614234221,57.05247332611,458373482666788480,134.7068453182,-3.7950325677,0.4482,-0.388,-0.973,236,15.898681,1.083686,0.6,NGC_869,34.84614541381,57.05247751542
34.91384446957,57.04382127404,458361594197316352,134.7445264924,-3.790871155,0.3999,-0.623,-1.058,251,15.388432,1.005596,0.8,NGC_869,34.9138494004,57.04382582932
34.92069762859,57.16476738731,458375750409363968,134.7074453523,-3.6756642338,0.3889,-0.586,-1.048,222,14.471223,0.774453,0.8,NGC_869,34.92070228174,57.16477189953
34.63555041365,57.1787914845,458378774066187264,134.5566966831,-3.713903688,0.3596,-0.879,-1.14,254,14.476894,0.616002,0.7,NGC_869,34.63555739603,57.17879639283
34.91401413124,57.16258760397,458375750409367296,134.7047550967,-3.6789318946,0.3543,-0.546,-0.733,211,16.811872,1.665112,0.4,NGC_869,34.91401846652,57.16259075994
34.56290164785,57.17111705874,458373035989882880,134.5219882479,-3.7341564924,0.3793,-0.415,-1.23,263,9.892113,0.516873,0.4,NGC_869,34.56290494374,57.17112235457
34.92960570694,57.22145539366,458376746841730816,134.6929719753,-3.6206352011,0.2916,-0.677,-0.848,245,16.083813,1.169719,0.6,NGC_869,34.92961109094,57.22145904477
34.60464609492,57.18751740657,458373100405220736,134.537965481,-3.7112063238,0.398,-0.529,-0.934,223,16.167284,1.291218,0.7,NGC_869,34.60465029805,57.18752142796
34.59902306667,57.16420768054,458372864191191296,134.5427998343,-3.7342141784,0.4291,-0.671,-1.105,243,15.342086,0.898018,0.9,NGC_869,34.59902839469,57.16421243818
34.58225992857,57.14615267751,458372722447315200,134.5401747169,-3.7542586584,0.3164,-0.667,-1.132,251,12.168809,0.44968,0.8,NGC_869,34.58226522224,57.1461575514
34.80244152015,57.05634295408,458367675871005184,134.6830974763,-3.7993135964,0.435,-0.723,-1.023,272,14.860081,0.758204,0.7,NGC_869,34.80244724438,57.05634735866
34.83426072236,57.04498577629,458367607151538048,134.7032452126,-3.8042481123,0.3882,-0.758,-0.914,240,15.286654,0.899235,0.8,NGC_869,34.83426672186,57.04498971157
34.93702728473,56.9195455539,458354305624190592,134.7981943805,-3.9037284078,0.4576,-0.778,-1.27,243,12.339608,0.400253,0.5,NGC_869,34.93703342182,56.91955102196
34.61949979117,57.10500415532,458371519857153152,134.5729190644,-3.7864182853,0.3806,-0.679,-1.102,241,14.540841,0.655651,0.8,NGC_869,34.6195051741,57.10500890004
34.68719907355,56.96943257583,458366232762095872,134.6527521395,-3.9021411425,0.5044,-1.466,-0.878,229,16.651207,1.27491,0.1,NGC_869,34.68721065327,56.96943635611
34.61113400752,57.16250790622,458372864191191680,134.5495741053,-3.7336485114,0.3417,-0.034,-0.525,234,15.272621,1.220263,0.2,NGC_869,34.61113427748,57.16251016664
34.8587859433,57.1693501315,458375063214599040,134.6742097562,-3.6825746909,0.3149,-0.747,-0.916,232,16.040314,1.177141,0.9,NGC_869,34.85879187561,57.16935407539
34.82574116129,57.17325332227,458375269373028480,134.6559822702,-3.6848759627,0.4746,-1.073,-0.958,262,16.511635,1.355619,0.4,NGC_869,34.82574968344,57.17325744699
34.55489941184,57.16704521601,458373035989883904,134.5192292986,-3.7394312501,0.3437,-0.611,-1.376,209,15.269938,0.735178,0.4,NGC_869,34.55490426381,57.16705114045
34.58540258337,57.16349901728,458372967270407296,134.5360483338,-3.7373221179,0.4199,-0.766,-1.303,246,14.753518,0.706537,0.8,NGC_869,34.58540866561,57.16350462742
35.08114936018,57.02563909356,458360975722027264,134.8365777972,-3.7773970462,0.452,-0.569,-0.531,246,17.13124,1.440905,0.2,NGC_869,35.08115386142,57.02564137981
34.95571591554,57.2229552372,458377056079373056,134.7058122341,-3.6144830418,0.4251,-0.735,-1.171,261,15.852049,1.142112,0.8,NGC_869,34.95572176103,57.22296027901
34.77509566924,57.05985751857,458368397425509888,134.6678721848,-3.8009532059,0.3779,-0.665,-1.305,243,14.660718,0.754398,0.7,NGC_869,34.77510093476,57.05986313732
34.69833728159,57.24841035597,458379358181844096,134.5657298855,-3.6369524201,0.4034,-1.258,-1.334,245,12.507754,0.596288,0.1,NGC_869,34.69834729344,57.24841609958
34.97433283741,56.94334994245,458354378652355200,134.8094078607,-3.8744738232,0.3126,-0.08,-0.884,259,16.917732,1.294887,0.1,NGC_869,34.97433346888,56.94335374856
34.55465605178,57.16410028334,458373001630146304,134.5200774896,-3.7422550197,0.4394,-0.991,-1.186,225,15.48497,0.929598,0.3,NGC_869,34.55466392071,57.16410538973
34.56591294044,57.16292096414,458372967270408064,134.5262420462,-3.7413553652,0.3497,-0.457,-1.173,241,14.668924,0.686898,0.6,NGC_869,34.56591656908,57.16292601456
34.64892723043,57.11202756959,458371867759034112,134.5857035424,-3.774502988,0.4651,-0.882,-1.249,242,12.535573,0.461396,0.5,NGC_869,34.64893422401,57.11203294723
34.5571890536,57.1804600943,458373035989881088,134.5159710199,-3.7263573006,0.4973,-0.584,-0.884,255,15.724185,1.147144,0.8,NGC_869,34.55719369284,57.18046390041
34.67136639905,57.18505597926,458378739706607232,134.5729727542,-3.7015651233,0.4045,-0.74,-1.004,257,13.452291,0.551614,1.0,NGC_869,34.67137227827,57.18506030204
34.62284081203,57.17194393397,458372898550928000,134.5524510444,-3.7226446461,0.4171,-1.146,-1.075,269,17.309101,1.561039,0.1,NGC_869,34.62284991365,57.17194856244
34.51184437487,57.12594672726,458372486234324096,134.5106954077,-3.7859298932,0.4295,-0.685,-1.185,274,14.937589,0.703696,0.9,NGC_869,34.51184980843,57.12595182934
34.58779130078,57.17403954177,458373070349619968,134.5337859177,-3.7269450733,0.4372,-1.056,-0.518,217,15.546171,1.005872,0.2,NGC_869,34.58779968809,57.17404177205
